Ticker,Price,Date
LQDA,19.26,2025-07-29
INDV,17.28,2025-07-29
SUPX,16.12,2025-07-29
MTRX,15.82,2025-07-29
PDLB,14.45,2025-07-29
SVII,11.9,2025-07-29
TECTP,10.9,2025-07-29
GRFS,10.5,2025-07-29
TACH,10.22,2025-07-29
SPEGU,10.11,2025-07-29
ELTX,10.1,2025-07-29
SOCAU,10.07,2025-07-29
PACHU,10.05,2025-07-29
OBAWU,10.03,2025-07-29
FGMC,9.9,2025-07-29
XGN,8.45,2025-07-29
MIMI,8.37,2025-07-29
COMM,8.34,2025-07-29
CUPR,7.74,2025-07-29
EVLV,6.76,2025-07-29
SIFY,6.2,2025-07-29
ELVA,4.99,2025-07-29
NTWK,4.38,2025-07-29
TURN,4.25,2025-07-29
CLLS,2.81,2025-07-29
GOSS,1.96,2025-07-29
TLSA,1.96,2025-07-29
SWAG,1.52,2025-07-29
AACG,1.27,2025-07-29
WHG,18.16,2025-07-29
OLO,10.45,2025-07-29
PAII-U,10.09,2025-07-29
ORN,9.4,2025-07-29
NPKI,9.05,2025-07-29
CX,8.64,2025-07-29
GNW,8.0,2025-07-29
NMR,6.99,2025-07-29
IHS,6.47,2025-07-29
QD,3.48,2025-07-29
EQS,1.5,2025-07-29
