Ticker,Price,Date
INDV,16.81,2025-07-25
CARL,14.45,2025-07-25
PXLW,13.59,2025-07-25
WBD,13.5,2025-07-25
PARA,13.26,2025-07-25
PVBC,12.76,2025-07-25
GTX,12.19,2025-07-25
OCUL,11.92,2025-07-25
VOD,11.52,2025-07-25
GTENU,10.81,2025-07-25
SGMT,10.2,2025-07-25
PACHU,10.05,2025-07-25
NMPAU,10.04,2025-07-25
MSGY,10.01,2025-07-25
ELTX,9.81,2025-07-25
PAYS,8.56,2025-07-25
TMC,8.1,2025-07-25
MIMI,7.99,2025-07-25
BHST,7.85,2025-07-25
EVLV,6.73,2025-07-25
NBTX,6.5,2025-07-25
RZLT,5.87,2025-07-25
SCPH,5.84,2025-07-25
RPID,4.34,2025-07-25
SLDP,4.31,2025-07-25
NTWK,4.24,2025-07-25
IZEA,4.1,2025-07-25
ATAI,3.74,2025-07-25
TOI,3.65,2025-07-25
DAIO,3.43,2025-07-25
IPA,2.31,2025-07-25
MNY,1.98,2025-07-25
BCS,19.4,2025-07-25
TRC,19.13,2025-07-25
AMX,18.34,2025-07-25
WHG,17.99,2025-07-25
NTST,17.99,2025-07-25
WT,13.71,2025-07-25
RITM,12.23,2025-07-25
NPKI,9.04,2025-07-25
SAN,8.88,2025-07-25
ADT,8.67,2025-07-25
CX,8.25,2025-07-25
SKLZ,8.13,2025-07-25
CIO,6.9,2025-07-25
MFG,6.2,2025-07-25
LYG,4.24,2025-07-25
WDH,1.98,2025-07-25
