Ticker,Price,Date,Trinity
SSRM,16.78,2025-08-15,True
TBPH,13.15,2025-08-15,True
AUPH,12.27,2025-08-15,True
VALN,11.53,2025-08-15,True
AACI,10.33,2025-08-15,True
XGN,9.49,2025-08-15,True
BHST,9.32,2025-08-15,True
EVLV,7.75,2025-08-15,True
XERS,7.68,2025-08-15,True
EMPG,6.99,2025-08-15,True
EFTY,6.35,2025-08-15,True
PBYI,5.73,2025-08-15,True
NIU,4.99,2025-08-15,True
ARTW,4.25,2025-08-15,True
ENLV,1.82,2025-08-15,True
BBVA,19.24,2025-08-15,True
PRM,18.56,2025-08-15,True
ELAN,17.96,2025-08-15,True
NPB,16.19,2025-08-15,True
MUFG,15.9,2025-08-15,True
GENI,12.91,2025-08-15,True
SAN,9.64,2025-08-15,True
JMIA,7.75,2025-08-15,True
AEG,7.5,2025-08-15,True
NMR,7.38,2025-08-15,True
MFG,6.68,2025-08-15,True
TEF,5.63,2025-08-15,True
QD,4.67,2025-08-15,True
HLLY,3.56,2025-08-15,True
