Ticker,Price,Date,Trinity,Entry_Status,Days_Since_Signal,Price_Move_Pct
ROIV,15.28,2025-09-17,True,EXTENDED_MOVE,13.0,21.56
PAX,14.96,2025-09-17,True,GOOD_ENTRY,2.0,0.88
ADUR,13.13,2025-09-17,True,GOOD_ENTRY,8.0,1.39
AMLX,12.77,2025-09-17,True,EXPIRED,26.0,37.31
SIFY,12.45,2025-09-17,True,EXPIRED,50.0,100.81
WULF,11.35,2025-09-17,True,EXPIRED,30.0,21.0
OPEN,10.21,2025-09-17,True,EXPIRED,26.0,103.79
KOYNU,10.07,2025-09-17,True,GOOD_ENTRY,20.0,0.2
MRAM,7.86,2025-09-17,True,GOOD_ENTRY,2.0,3.29
ELVA,6.61,2025-09-17,True,EXPIRED,50.0,32.46
OSS,6.59,2025-09-17,True,GOOD_ENTRY,21.0,5.1
NUTR,5.4,2025-09-17,True,EXPIRED,30.0,31.71
III,5.38,2025-09-17,True,GOOD_ENTRY,13.0,1.7
NTWK,5.01,2025-09-17,True,EXPIRED,51.0,12.84
DHC,4.41,2025-09-17,True,GOOD_ENTRY,9.0,2.8
THTX,3.31,2025-09-17,True,EXPIRED,41.0,3.12
VIPS,18.89,2025-09-17,True,GOOD_ENTRY,7.0,5.18
HGTY,13.02,2025-09-17,True,GOOD_ENTRY,9.0,7.78
PL,10.23,2025-09-17,True,GOOD_ENTRY,9.0,5.9
ELP,9.73,2025-09-17,True,EXPIRED,41.0,5.3
CX,9.43,2025-09-17,True,EXPIRED,50.0,9.14
FIGS,7.29,2025-09-17,True,EXPIRED,30.0,3.7
